State.Name,Population 2015,Population 2010,Population 2005,Age Group 15-18 Proportion,Age Group 15-18 Population (2015),Age Group 15-18 Population (2010),Age Group 15-18 Population (2005),Per Capita GDP 2015,Education Investment 2015,Education Investment 2010,Education Investment 2005,Political Affiliation,Area
California,39144818,37253956,35105684,0.1974903475,7730723.709,7357296.716,6933033.732,52651,10466.53341,9374.707573,8066.722292,B,West
Texas,27469114,25145561,22209326,0.1898455598,5214889.326,4773773.106,4216341.928,46745,8861.308574,8745.66292,7266.862857,R,Southwest
Florida,20271272,18801310,17350227,0.2046254826,4148018.816,3847227.133,3550298.574,44101,8881.138604,8741.321616,7206.633324,,Southeast
New York,19795791,19378102,18593417,0.2020772201,4000278.415,3915872.983,3757306.019,57705,21205.58139,18618.23989,14119.36822,B,Northeast
Illinois,12859995,12830632,12374933,0.1982548263,2549556.074,2543734.718,2453390.192,49471,13755.3254,11634.14793,8943.597518,B,Midwest
Pennsylvania,12802503,12702379,11906588,0.2023320463,2590356.63,2570098.336,2409084.315,49180,14716.69197,12994.92603,10552.00944,B,Northeast
Ohio,11613423,11536504,11095546,0.1985096525,2305376.564,2290107.4,2202572.981,43478,11636.80227,11030.33272,9260.176606,B,Midwest
Georgia,10214860,9687653,8768338,0.1946872587,1988703.091,1886062.606,1707083.688,40551,9427.281327,9394.033516,8028.06226,R,Southeast
North Carolina,10042802,9535483,8371087,0.199019305,1998711.474,1897745.2,1666007.917,40656,8687.215492,8408.762338,7159.291469,R,Southeast
Michigan,9922576,9883640,9865000,0.20003861,1984898.311,1977109.608,1973380.888,42427,11482.36926,10643.57987,9328.755284,B,Midwest
New Jersey,8958013,8791894,8483954,0.1992741313,1785100.259,1751997.039,1690632.563,59782,18235.42707,16841.14951,13799.79209,B,Northeast
Virginia,8382993,8001024,7288580,0.1992741313,1670513.648,1594397.107,1452425.448,52136,11236.83711,10596.64185,8891.24921,B,Southeast
Arizona,6828065,6392017,5810708,0.1974903475,1348476.93,1262361.658,1147558.742,39060,7489.49711,7848.084196,6261.394378,R,Southwest
Massachusetts,6794422,6547629,6143155,0.2048803089,1392043.278,1341480.252,1258611.494,61032,15592.0961,13589.86477,11267.07224,B,Northeast
Indiana,6619680,6483802,6037967,0.1954517375,1293827.957,1267270.366,1180131.141,40998,9686.793167,9611.176678,8797.797586,R,Midwest
Tennessee,6600299,6346105,5795788,0.1985096525,1310223.061,1259763.098,1150519.862,42069,8723.370838,8064.694916,6729.037893,R,Southeast
Missouri,6083672,5988927,5593816,0.198,1204567.056,1185807.546,1107575.568,42752,10146.56371,9633.841662,7716.885386,R,Midwest
Maryland,6006401,5773552,5468072,0.1985096525,1192328.575,1146105.801,1085465.073,56127,14191.96369,13738.31597,9815.244097,B,Northeast
Wisconsin,5771337,5686986,5369098,0.1992741313,1150078.167,1133269.195,1069922.34,45617,11374.58474,11364.39673,9743.836431,R,Midwest
Minnesota,5489594,5303925,4952826,0.19596139,1075748.471,1039364.515,970562.6672,50541,11948.65707,10684.57531,8661.627723,B,Midwest
Colorado,5456574,5029196,4566633,0.199019305,1085963.565,1000907.093,908848.1259,50410,9245.032786,8852.78286,7729.78534,B,West
South Carolina,4896146,4625364,4112083,0.1997837838,978170.5738,924072.7213,821527.501,38041,9953.134048,9142.703224,7554.789832,R,Southeast
Alabama,4858979,4779736,4435456,0.1982548263,963316.0374,947605.7302,879350.5586,38965,9127.926974,8880.743341,7066.02819,R,Southeast
Louisiana,4670724,4533372,4369510,0.1951969112,911710.8979,884900.2117,852914.8554,43252,11009.53231,10638.27316,7604.519073,R,Southeast
Kentucky,4425092,4339367,4048154,0.1977451737,875040.5864,858088.8814,800502.9161,38989,9630.4165,8947.946833,7117.97936,R,Southeast
Oregon,4028977,3831074,3527078,0.2025868726,816217.8502,776125.3003,714539.7014,42974,10442.08557,9623.634092,8114.579835,B,West
Oklahoma,3911338,3751351,3426988,0.1934131274,756504.1149,725560.5289,662824.4667,44272,8082.214927,7895.722408,6612.624886,R,Southwest
Connecticut,3590886,3574097,3402157,0.2028416988,728381.4166,724975.9073,690099.3056,66972,18377.28696,14906.37267,11572.42276,B,Northeast
Iowa,3123899,3046355,2858454,0.1962162162,612959.6416,597744.2514,560875.0281,44971,10943.96124,9763.308261,7972.381062,R,Midwest
Utah,2995919,2763885,2426295,0.1809266409,542041.5612,500060.429,438981.4042,39045,6574.548756,6063.658262,5257.151346,R,West
